species,age,weight,affection,appetite,vaccinated,injury,wound,overall_health
Cow,4,29.55,6.7,6.2,0,1,1,5.9266
Cow,11,12.72,2.9,7.9,1,1,0,11.1026
Rabbit,10,6.62,4.4,9.1,0,1,1,21.3269
Dog,11,38.61,9.4,4.7,1,0,0,79.1263
Dog,2,48.02,8.0,8.8,0,1,0,1.0212
Dog,2,3.58,1.4,9.1,1,0,0,72.08
Cat,12,23.9,9.3,8.8,0,1,1,8.8556
Cat,15,41.46,5.9,1.5,1,1,1,19.7775
Rabbit,15,1.86,5.0,1.7,0,1,0,47.3911
Rabbit,2,35.95,5.4,4.8,0,1,0,38.64
Dog,6,3.81,3.0,8.6,1,0,1,46.5785
Dog,13,37.88,8.2,4.8,0,1,1,17.6939
Dog,13,41.18,9.0,9.6,0,1,1,2.6967
Cat,1,20.58,9.5,8.3,0,0,0,42.1051
Cow,8,33.09,6.3,9.2,0,1,0,30.2413
Cow,6,34.08,1.2,4.9,0,1,0,12.5024
Rabbit,4,3.58,3.4,7.2,1,1,1,6.6047
Cat,13,46.46,8.6,8.6,1,1,0,45.541
Rabbit,4,40.74,3.9,2.7,0,1,1,17.3676
Dog,11,26.99,4.5,5.0,1,1,1,29.3894
Cow,3,37.56,9.9,2.7,1,1,0,17.4638
Dog,5,24.82,7.7,3.5,1,0,0,53.9266
Cow,5,20.57,1.3,4.3,0,0,1,42.7941
Dog,12,25.0,3.1,3.0,0,0,0,0.2999
Dog,14,26.6,4.6,5.9,0,1,1,11.9092
Cow,3,43.74,8.6,3.0,1,0,1,19.0494
Dog,6,6.16,4.3,2.6,1,0,1,33.8716
Rabbit,4,43.78,7.6,7.0,0,1,1,13.444
Cow,9,19.96,7.4,4.9,0,1,0,6.1771
Dog,12,40.9,4.3,3.0,1,1,0,23.6907
Cat,10,27.65,1.8,7.4,0,0,0,10.5971
Cat,5,29.19,4.2,8.3,1,0,1,11.7245
Dog,2,39.38,8.2,1.3,1,0,1,1.1582
Rabbit,9,2.95,5.5,7.8,1,1,1,48.7201
Cat,14,35.92,2.8,5.4,0,1,1,24.3075
Cat,15,40.86,2.6,4.3,1,0,1,16.5792
Cat,8,45.53,7.9,4.9,1,0,0,62.4968
Cat,9,6.26,2.9,8.8,1,1,1,34.1527
Cat,3,4.81,2.0,2.7,1,0,1,39.1171
Dog,11,40.94,3.4,2.7,1,0,1,0.7429
Rabbit,7,14.58,4.3,5.1,1,1,0,33.7396
Dog,12,18.67,5.1,2.7,1,0,0,94.4579
Cat,2,45.0,7.3,1.7,1,0,1,35.2973
Cow,3,10.35,4.6,6.5,0,0,0,45.8783
Cat,4,20.1,9.3,6.5,1,0,0,52.8792
Cow,11,24.1,10.0,5.5,0,1,0,19.8059
Dog,8,24.1,1.1,6.7,1,0,0,99.935
Cat,8,39.04,9.0,8.6,0,0,1,8.9439
Cow,9,6.02,7.3,5.8,0,1,1,44.5789
Cat,12,24.0,2.0,4.2,0,0,1,13.0176
Cat,8,38.53,2.0,4.5,0,1,0,48.6986
Dog,7,26.56,4.7,9.1,0,0,1,33.111
Dog,5,30.26,4.3,4.7,1,0,1,13.9042
Rabbit,6,12.32,5.1,3.5,1,0,1,6.9801
Rabbit,14,8.49,4.5,8.9,1,1,0,25.6524
Dog,12,44.56,1.8,4.3,0,0,1,42.1216
Cat,6,18.46,8.5,9.6,0,1,1,47.4177
Rabbit,12,11.43,7.7,8.3,1,0,1,48.4338
Cat,6,41.44,2.7,8.1,1,0,1,26.9052
Cat,10,18.9,2.3,5.3,1,0,1,23.8468
Dog,9,4.56,8.7,4.2,0,1,1,0.2909
Rabbit,8,27.36,6.6,7.4,1,0,1,34.8955
Cat,12,14.64,5.1,7.3,0,0,0,14.6862
Dog,3,47.25,9.6,3.6,1,0,0,56.7147
Cat,6,33.12,6.1,8.8,0,0,1,26.5879
Cat,2,47.09,5.6,7.4,1,0,1,8.7152
Cow,11,14.44,7.7,7.8,0,1,1,44.9289
Rabbit,11,43.36,9.7,6.7,1,0,1,0.3294
Cat,7,37.93,3.5,8.8,1,0,1,31.7457
Dog,5,39.34,7.9,7.3,0,1,1,44.135
Cow,11,40.46,9.7,5.0,0,0,0,17.1853
Rabbit,5,6.28,4.1,1.8,1,0,1,39.0924
Rabbit,11,2.01,1.7,2.1,0,0,0,20.3537
Rabbit,3,32.87,8.5,5.1,1,0,0,70.8317
Dog,14,3.38,9.0,4.8,1,1,1,46.4505
Dog,2,42.64,7.9,1.3,1,0,0,86.5057
Cow,3,15.82,7.2,1.7,0,1,1,4.0234
Rabbit,8,6.9,6.2,8.3,0,1,0,37.5037
Cat,3,31.53,1.6,5.2,0,0,0,30.0702
Cow,4,4.52,6.0,4.2,1,1,0,33.3861
Rabbit,8,10.19,6.4,6.8,0,1,0,19.1061
Dog,4,18.99,4.0,9.5,0,1,0,40.9153
Dog,14,42.02,2.8,8.3,0,0,0,34.462
Cat,15,31.62,4.5,2.6,1,0,1,34.7743
Cow,3,16.33,5.7,8.2,0,1,0,42.524
Dog,11,28.15,1.9,1.4,1,1,0,41.8585
Rabbit,2,29.44,2.7,8.1,0,0,1,18.5848
Cat,6,45.4,8.6,6.6,0,1,1,18.4579
Rabbit,10,4.75,6.2,5.5,1,0,1,17.5867
Cat,12,27.59,1.7,5.1,1,0,1,36.9309
Rabbit,4,46.96,2.5,4.4,1,1,1,10.315
Cow,13,48.01,9.7,5.7,1,1,0,36.352
Rabbit,10,45.96,3.3,3.9,0,1,0,38.3008
Rabbit,8,13.54,6.9,8.7,0,0,0,42.9086
Dog,9,44.99,3.8,7.7,0,0,1,35.6941
Cat,14,34.02,3.3,1.8,1,1,0,36.7537
Dog,6,37.24,2.4,9.7,1,1,1,29.7078
Dog,11,5.54,5.2,7.6,0,1,0,28.9558
Cat,13,44.08,1.7,9.9,1,0,1,25.2982
Dog,9,8.23,1.6,2.5,0,0,1,13.8383
Cat,13,41.28,7.1,6.7,1,0,1,30.6426
Rabbit,3,18.29,9.0,4.3,1,1,0,18.3362
Rabbit,5,46.24,2.3,6.5,1,0,1,35.8983
Cat,3,42.55,8.9,3.4,1,1,0,32.099
Rabbit,11,4.87,2.8,9.2,1,0,1,5.8246
Dog,15,24.74,8.7,9.2,1,1,0,17.0343
Dog,5,10.36,2.7,3.2,1,1,1,42.8521
Dog,7,16.03,6.5,1.8,1,1,1,45.6286
Cow,10,40.73,4.8,9.9,0,1,1,0.4251
Cat,8,8.92,6.7,1.2,0,1,1,11.4669
Cow,7,45.73,2.2,4.6,1,0,0,91.548
Dog,11,18.58,8.8,4.6,1,0,1,21.9205
Rabbit,9,22.24,1.0,5.2,0,1,1,25.4071
Dog,6,40.44,2.8,7.7,1,1,0,8.3031
Cat,12,28.99,9.4,9.0,0,1,1,17.5143
Cat,10,44.85,8.6,2.6,1,0,0,50.8713
Cat,4,7.56,4.4,4.4,0,1,1,40.0036
Cat,3,36.87,3.7,3.5,0,1,0,3.5348
Rabbit,5,17.33,9.3,3.0,0,0,1,41.4542
Rabbit,6,44.71,6.5,5.5,1,0,1,45.2793
Cat,2,21.33,4.8,8.8,0,0,0,39.8348
Cow,3,49.6,3.5,7.4,0,0,0,25.9848
Cat,13,16.64,6.2,7.1,1,1,0,3.2993
Cow,6,7.37,6.2,1.4,1,0,0,89.7612
Cow,3,43.07,6.3,4.1,1,1,0,19.5383
Cow,8,46.31,9.3,5.7,0,1,1,17.2379
Rabbit,7,43.54,3.7,5.2,1,0,1,36.5042
Cow,6,38.18,5.3,1.4,0,0,0,29.1297
Cow,11,34.75,6.0,5.4,0,1,1,21.8674
Dog,15,12.99,5.0,7.9,0,0,0,6.8003
Cow,3,37.26,3.5,3.9,0,0,0,8.3804
Cat,6,40.75,8.6,3.0,0,1,0,6.682
Cow,13,22.34,6.4,1.4,0,0,1,28.0998
Rabbit,10,49.3,3.8,6.4,0,0,0,2.7188
Rabbit,12,31.37,4.1,1.7,1,1,1,30.2912
Cat,8,6.84,2.1,4.9,1,1,0,6.5861
Cow,13,14.85,9.3,3.4,1,0,0,78.949
Dog,13,19.5,2.0,3.3,0,1,1,47.1334
Cow,6,12.76,6.9,5.3,0,0,0,7.2209
Cow,8,36.0,8.2,6.9,1,1,0,25.8025
Rabbit,2,33.65,7.6,4.6,0,1,0,33.5709
Cow,2,4.54,8.2,4.0,1,1,0,24.2941
Dog,8,47.61,5.4,6.1,1,0,1,10.9548
Dog,9,42.23,4.6,4.9,0,0,1,43.4311
Cow,9,17.51,2.7,6.1,1,1,1,32.0865
Cow,6,30.38,2.3,1.9,0,1,0,11.0977
Dog,12,11.03,3.6,9.2,1,1,1,17.8554
Rabbit,5,38.81,9.3,6.9,0,0,1,12.9071
Cow,13,47.54,3.7,4.1,1,1,1,18.8108
Cow,13,42.03,2.9,5.8,0,0,0,45.9608
Cat,13,37.11,4.2,8.7,0,1,0,36.4912
Rabbit,14,11.96,2.7,1.1,1,1,1,31.8485
Dog,13,34.52,4.8,7.7,0,1,0,41.8385
Cat,14,14.41,3.5,8.8,0,1,0,30.4063
Dog,13,34.82,1.2,7.9,0,1,1,25.1225
Cat,3,25.5,2.8,6.3,0,0,1,19.5104
Cow,2,11.37,7.9,1.9,0,0,0,22.2223
Dog,13,38.75,8.3,8.0,0,0,1,5.0215
Dog,15,11.81,3.0,7.3,1,1,1,47.4868
Dog,11,2.56,1.6,7.7,1,1,0,25.745
Rabbit,7,35.68,1.3,7.8,1,0,0,55.6237
Dog,7,11.78,9.4,3.7,0,0,0,43.3162
Cat,6,22.22,1.6,3.9,0,0,0,36.2355
Cat,10,22.78,1.7,2.1,0,1,0,14.1964
Cow,2,34.03,1.3,6.6,0,1,0,12.6169
Rabbit,3,2.72,7.5,2.9,0,0,0,45.8776
Dog,3,32.98,4.6,4.2,1,0,1,32.2325
Rabbit,10,49.08,1.6,4.6,1,1,0,21.9336
Cat,3,14.36,1.6,8.4,0,1,0,20.242
Rabbit,8,19.75,5.6,8.9,1,0,0,78.9283
Cow,4,47.43,2.2,3.2,1,1,0,33.9664
Dog,8,40.23,8.7,8.1,1,0,0,71.2693
Dog,10,48.03,6.3,5.3,0,1,1,6.132
Dog,8,11.2,1.9,1.6,1,1,1,42.3878
Cow,12,27.74,2.8,5.9,1,1,0,29.3086
Cow,10,7.3,4.8,9.9,0,1,1,46.66
Rabbit,9,6.67,2.4,5.0,0,1,1,37.1144
Cat,13,46.36,2.6,9.5,0,0,0,5.1582
Rabbit,2,26.36,1.2,8.7,1,0,1,13.2535
Rabbit,13,35.63,7.9,1.5,1,0,0,64.6346
Dog,9,43.64,2.9,3.6,1,0,1,39.4785
Cat,11,36.36,7.0,9.4,1,1,0,44.0955
Cat,7,32.95,9.6,6.5,0,1,0,39.0057
Rabbit,10,47.08,2.6,9.4,0,0,0,17.3526
Dog,12,26.55,2.3,7.7,1,1,0,4.1839
Dog,14,20.27,1.4,8.4,1,1,0,34.4737
Cow,4,24.17,5.1,3.2,0,1,0,15.6027
Dog,14,18.59,2.8,8.9,0,1,0,15.1239
Rabbit,4,27.53,5.8,4.9,1,1,0,4.7244
Rabbit,3,11.6,10.0,8.6,0,1,1,7.1858
Rabbit,5,48.79,5.0,1.8,0,1,1,15.3656
Cat,15,2.24,8.4,6.5,1,0,1,37.0657
Rabbit,11,10.41,6.4,3.9,1,1,0,40.1306
Dog,10,37.62,7.4,1.5,1,1,0,12.5247
Cow,3,44.43,7.0,3.7,1,1,1,18.7694
Cow,11,37.1,9.2,7.4,1,1,0,42.0206
Cat,6,49.08,6.8,6.9,1,1,0,18.0521
Cat,11,23.82,8.5,6.7,0,1,0,26.0726
Dog,8,34.38,3.5,6.5,0,0,1,15.1297
Cat,10,35.78,6.1,6.8,0,1,1,25.0389
Cat,7,24.05,5.4,9.1,0,0,1,0.107
Rabbit,13,33.47,8.5,2.6,1,0,1,0.4234
Cow,2,31.01,8.3,2.8,1,0,1,46.9639
Cat,2,38.03,7.4,6.2,0,0,0,1.6018
Dog,14,29.08,4.5,4.1,1,1,0,36.8571
Cat,3,43.26,7.3,2.1,0,0,0,19.2224
Cat,5,35.88,1.6,8.3,1,0,0,62.7177
Cat,8,24.71,2.1,10.0,0,0,0,27.5319
Cat,8,44.38,2.5,5.0,1,1,0,32.9679
Rabbit,11,18.73,9.7,8.8,1,0,1,23.2029
Cat,10,4.79,6.5,3.7,0,1,0,2.5536
Rabbit,8,49.3,1.9,8.1,1,1,1,21.1383
Cat,10,19.06,7.1,6.5,1,1,0,12.644
Rabbit,6,10.16,7.5,1.4,1,1,1,42.2186
Cow,9,23.52,5.0,2.1,0,0,1,10.6115
Rabbit,8,47.23,2.6,4.8,0,0,0,17.4033
Cat,7,41.39,6.1,6.0,1,1,0,48.8883
Cat,15,2.0,6.0,5.5,0,0,0,3.0762
Dog,8,11.35,4.9,4.8,1,0,0,95.5684
Dog,4,17.32,4.4,2.3,1,1,1,24.185
Cow,9,10.69,5.6,4.9,1,0,1,34.5914
Cow,8,1.2,9.4,8.5,1,1,1,28.6011
Dog,11,40.71,3.1,2.7,0,0,0,14.7803
Cow,14,22.36,9.6,7.1,1,1,1,33.9255
Rabbit,15,2.79,3.4,3.0,1,1,1,44.6706
Cow,2,33.11,2.4,1.6,0,0,0,32.461
Dog,11,14.55,3.0,1.2,1,1,0,18.956
Cow,12,20.77,1.0,1.5,1,1,0,17.1189
Cow,4,15.14,2.3,8.4,0,1,1,29.4928
Cow,9,25.11,8.4,3.5,1,1,0,12.6567
Cat,1,33.23,4.8,3.3,1,0,1,42.1348
Dog,7,31.14,5.4,6.0,1,0,1,43.2392
Rabbit,10,24.96,4.4,7.8,0,0,0,40.3755
Dog,1,41.78,4.9,7.9,0,1,0,19.205
Dog,9,43.39,5.1,6.3,0,1,1,3.7787
Dog,7,11.99,4.6,1.6,1,0,0,81.4182
Dog,5,28.69,3.3,6.6,0,1,0,23.4639
Rabbit,12,6.96,8.9,3.0,0,1,1,13.2838
Cat,9,8.54,5.0,5.7,0,0,1,35.4368
Rabbit,9,43.23,2.7,6.6,1,0,1,47.0024
Cat,7,36.1,9.2,1.9,1,0,0,90.795
Dog,2,21.31,8.0,9.8,1,0,1,44.4047
Cat,7,43.14,3.7,6.2,0,0,1,18.6583
Dog,6,35.19,3.2,9.5,0,1,0,14.2656
Rabbit,2,46.47,4.7,8.8,0,0,0,29.9353
Cow,1,17.55,5.5,4.5,0,0,1,12.1397
Cow,11,40.18,4.9,1.2,1,1,0,34.6448
Rabbit,8,12.76,7.8,5.1,1,0,1,42.4792
Cat,13,8.96,6.6,8.8,1,0,1,18.9458
Cow,10,27.5,2.0,2.9,0,1,0,32.0284
Cow,8,48.54,8.1,7.2,0,1,0,40.3085
Dog,7,37.29,2.6,7.0,0,0,1,16.083
Rabbit,15,2.32,8.9,9.1,1,1,1,26.4666
